,group,group_id,name,category,description,homepage,projectrank,show,commit_count,recent_commit_count,star_count,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,trending,monthly_downloads,resource,obsidian_plugin,github_id,image,github_url,license,latest_stable_release_number,github_dependent_project_count,new_addition,github_release_downloads,docs_url,labels
10,,quartz,Quartz · GitHub,others,Official GitHub Repository for the Quartz static-site-generator.,https://github.com/jackyzha0/quartz,29,True,1919.0,51.0,13190.0,3985.0,47.0,4.0,1387.0,41.0,1114.0,36.0,252.0,2021-07-18 15:52:52,2026-09-06 20:14:40,2026-09-06 11:49:42,2023-08-21 00:09:41,1.0,,,,,jackyzha0/quartz,https://opengraph.githubassets.com/1/jackyzha0/quartz,https://github.com/jackyzha0/quartz,MIT,4.0.8,36.0,True,,,
11,,digitalgarden,Digital Garden · GitHub,others,Official GitHub Repository for the Obsidian Digital Garden static-site-generator.,https://github.com/oleeskild/obsidian-digital-garden,25,True,604.0,95.0,2492.0,222.0,12.0,100.0,178.0,215.0,316.0,,32.0,2022-02-14 18:25:59,2026-09-03 20:05:06,2026-09-03 20:05:02,2026-09-03 20:06:34,3.0,,5714.0,,,oleeskild/obsidian-digital-garden,https://github.com/user-attachments/assets/00a81e50-1166-4e16-a589-23b0374efd29,https://github.com/oleeskild/obsidian-digital-garden,MIT,2.92.3,,True,240002.0,,
12,,,Obsidian Web Clipper,tools,Highlight and capture the web in your favorite browser. The official Web Clipper extension for Obsidian.,https://github.com/obsidianmd/obsidian-clipper,24,True,1034.0,26.0,5156.0,659.0,25.0,68.0,251.0,231.0,465.0,,39.0,2024-08-29 17:44:26,2026-09-04 01:13:40,2026-09-04 01:13:40,2026-07-22 18:21:09,1.0,,783.0,,,obsidianmd/obsidian-clipper,https://raw.githubusercontent.com/obsidianmd/obsidian-clipper/main/assets/safari/ipad.png,https://github.com/obsidianmd/obsidian-clipper,MIT,1.7.1,,,18796.0,https://obsidian.md/help/web-clipper,['official']
13,,,Obsidian Second Brain for AI Agents,workflows,"Persistent memory for Claude Code and 6 other CLI agents, stored as plain markdown in your Obsidian vault. Stop re-..",https://eugeniughelbur.github.io/obsidian-second-brain/,23,True,437.0,294.0,4368.0,543.0,30.0,11.0,170.0,11.0,67.0,,37.0,2026-03-24 11:58:12,2026-09-06 20:40:00,2026-09-06 20:37:41,2026-09-04 15:56:15,1.0,,,,,eugeniughelbur/obsidian-second-brain,https://opengraph.githubassets.com/1/eugeniughelbur/obsidian-second-brain,https://github.com/eugeniughelbur/obsidian-second-brain,MIT,0.15.0,,,,,
14,,,Claude Obsidian (AI Second Brain),workflows,"Self-organizing AI second brain for Obsidian + Claude Code. Drop any source and Claude reads, links, and files it into..",https://github.com/AgriciDaniel/claude-obsidian,21,True,254.0,42.0,14738.0,1461.0,65.0,10.0,102.0,70.0,6.0,,3.0,2026-04-07 08:59:37,2026-08-26 11:43:21,2026-08-26 11:43:18,2026-08-25 23:32:08,3.0,,53.0,,,AgriciDaniel/claude-obsidian,https://raw.githubusercontent.com/AgriciDaniel/claude-obsidian/main/assets/diagrams/knowledge-loop.svg,https://github.com/AgriciDaniel/claude-obsidian,MIT,2.1.1,,,266.0,,
15,,,Apex Dashboard,dataview,"Stop switching between Obsidian notes. One page. Everything you need. Memo your thoughts, crush your todos, track your..",https://github.com/PandoraReads/apex-dashboard/blob/main/README_EN.md,21,True,245.0,110.0,750.0,44.0,4.0,62.0,6.0,12.0,32.0,,,2026-05-14 07:42:42,2026-09-03 12:27:27,2026-09-03 12:27:06,2026-09-03 12:27:59,1.0,,22649.0,,,PandoraReads/apex-dashboard,https://opengraph.githubassets.com/1/PandoraReads/apex-dashboard,https://github.com/PandoraReads/apex-dashboard,MIT,2.2.1,,,90599.0,,
16,,,Zettelkasten Templates & Scripts,templates,A repository containing templates and scripts for #Obsidian to support the #Zettelkasten method for note-taking.,https://github.com/groepl/Obsidian-Templates,20,True,568.0,53.0,1918.0,173.0,33.0,12.0,5.0,,14.0,,,2022-12-02 19:56:17,2026-09-05 15:43:47,2026-09-05 15:43:47,2026-07-14 14:06:15,1.0,,,,,groepl/Obsidian-Templates,https://opengraph.githubassets.com/1/groepl/Obsidian-Templates,https://github.com/groepl/Obsidian-Templates,MIT,11.0.0,,,,,
17,,,Obsidian Sample Plugin,related,Template for Obsidian community plugins with build configuration and development best practices.,https://github.com/obsidianmd/obsidian-sample-plugin,17,True,102.0,2.0,4514.0,1571.0,44.0,1.0,111.0,16.0,58.0,,28.0,2020-10-25 19:47:57,2026-08-02 15:56:53,2026-08-02 15:56:53,2020-10-28 23:21:46,1.0,,132.0,,,obsidianmd/obsidian-sample-plugin,https://opengraph.githubassets.com/1/obsidianmd/obsidian-sample-plugin,https://github.com/obsidianmd/obsidian-sample-plugin,0BSD,1.0.0,,,9387.0,,['official']
18,,,Shimmering Obsidian (Alfred Workflow),integrations,Alfred workflow with dozens of features for controlling your Obsidian vault.,https://alfred.app/workflows/chrisgrieser/shimmering-obsidian/,17,True,1414.0,2.0,1036.0,46.0,5.0,100.0,31.0,1.0,178.0,,16.0,2021-08-22 15:41:18,2026-08-03 07:52:29,2026-08-03 07:52:09,2025-05-18 14:50:26,1.0,,99.0,,,chrisgrieser/shimmering-obsidian,https://opengraph.githubassets.com/1/chrisgrieser/shimmering-obsidian,https://github.com/chrisgrieser/shimmering-obsidian,MIT,4.14.0,,,4370.0,,
19,,,Obsidian Skills,related,"Agent skills for Obsidian. Teach your agent to use Obsidian CLI and open formats including Markdown, Bases, JSON Canvas.",https://github.com/kepano/obsidian-skills,16,True,46.0,,48033.0,3428.0,250.0,,80.0,32.0,20.0,,16.0,2026-01-02 21:45:11,2026-06-08 16:12:01,2026-06-08 16:12:01,,2.0,,,,,kepano/obsidian-skills,https://opengraph.githubassets.com/1/kepano/obsidian-skills,https://github.com/kepano/obsidian-skills,MIT,,,,,,
20,,,kepano's Obsidian Vault,vaults,My personal Obsidian vault template. A bottom-up approach to note-taking and organizing things I am interested in.,https://stephango.com/vault,16,True,149.0,,4498.0,363.0,85.0,6.0,24.0,5.0,14.0,,9.0,2023-09-12 21:59:16,2026-01-09 00:01:53,2026-01-09 00:01:50,2025-10-06 19:20:13,1.0,,,,,kepano/kepano-obsidian,https://opengraph.githubassets.com/1/kepano/kepano-obsidian,https://github.com/kepano/kepano-obsidian,MIT,2.2.0,,,,,
21,,,Modular CSS Layout,css,CSS Layout hack for Obsidian.md.,https://github.com/efemkay/obsidian-modular-css-layout,16,True,128.0,,1809.0,106.0,22.0,30.0,6.0,57.0,49.0,,3.0,2022-03-27 04:10:01,2024-09-01 09:11:48,2024-09-01 09:11:27,2024-09-01 09:03:34,1.0,,198.0,,,efemkay/obsidian-modular-css-layout,https://raw.githubusercontent.com/efemkay/obsidian-modular-css-layout/main/docs/assets/hero-mc-callout.png,https://github.com/efemkay/obsidian-modular-css-layout,GPL-3.0,0.10.0,,,10341.0,https://efemkay.github.io/obsidian-modular-css-layout/,
22,,flowershow,Flowershow · GitHub,others,Official GitHub Repository for the Flowershop static-site-generator.,https://github.com/flowershow/obsidian-flowershow,16,True,91.0,13.0,75.0,6.0,8.0,34.0,19.0,,28.0,,4.0,2023-04-28 08:27:57,2026-09-07 08:24:21,2026-09-07 08:23:54,2026-09-07 08:27:19,3.0,,639.0,,,flowershow/obsidian-flowershow,https://raw.githubusercontent.com/flowershow/flowershow/main/content/flowershow-app/assets/showcases/demo.png,https://github.com/flowershow/obsidian-flowershow,MIT,4.2.3,,True,24288.0,,
23,,,Obsidian Raycast Extension,integrations,Raycast extension with commands for the note taking app Obsidian.,https://github.com/marcjulianschwarz/obsidian-raycast,14,True,428.0,,152.0,31.0,3.0,9.0,41.0,8.0,81.0,,10.0,2021-10-23 10:36:49,2026-04-02 19:47:48,2026-04-02 19:45:37,2023-06-10 21:42:11,3.0,,,,,marcjulianschwarz/obsidian-raycast,https://opengraph.githubassets.com/1/marcjulianschwarz/obsidian-raycast,https://github.com/marcjulianschwarz/obsidian-raycast,MIT,1.12.0,,,,,
24,,,Obsidian CSS Snippets,css,"Welcome to the ObsidianMD CSS Snippets repository, a collection of CSS code snippets to enhance the user interface..",https://github.com/r-u-s-h-i-k-e-s-h/Obsidian-CSS-Snippets,13,True,53.0,6.0,1560.0,76.0,23.0,,9.0,,10.0,,10.0,2023-11-27 10:28:22,2026-07-22 05:58:01,2026-07-22 05:57:57,,2.0,,,,,r-u-s-h-i-k-e-s-h/Obsidian-CSS-Snippets,https://opengraph.githubassets.com/1/r-u-s-h-i-k-e-s-h/Obsidian-CSS-Snippets,https://github.com/r-u-s-h-i-k-e-s-h/Obsidian-CSS-Snippets,MIT,,,,,,
25,,,AI Memory Vault,workflows,"Give your AI a real, persistent memory. The open-source system plus templates that turn an Obsidian vault into your..",https://jaredrhod.com,13,True,57.0,57.0,635.0,162.0,12.0,1.0,1.0,1.0,1.0,,,2026-06-18 01:17:27,2026-08-31 01:56:56,2026-08-31 01:56:54,2026-07-14 21:55:01,3.0,,,,,jaredrhod/ai-memory-vault,https://opengraph.githubassets.com/1/jaredrhod/ai-memory-vault,https://github.com/jaredrhod/ai-memory-vault,CC-BY-SA-4.0,3.2,,,,,
26,,,Obsidian Docs,related,,https://docs.obsidian.md/Home,13,True,474.0,17.0,519.0,172.0,17.0,,155.0,20.0,85.0,,63.0,2023-01-09 23:50:01,2026-08-10 23:37:26,2026-08-10 23:37:26,,3.0,,,,,obsidianmd/obsidian-developer-docs,https://opengraph.githubassets.com/1/obsidianmd/obsidian-developer-docs,https://github.com/obsidianmd/obsidian-developer-docs,,,,,,,['official']
27,,,Web Clipper Templates,templates,Obsidian Web Clipper templates for various sites.,https://github.com/kepano/clipper-templates,12,True,37.0,,1443.0,110.0,37.0,,22.0,,,,9.0,2024-09-10 22:05:31,2026-03-13 15:06:24,2026-03-13 15:06:24,,3.0,,,,,kepano/clipper-templates,https://opengraph.githubassets.com/1/kepano/clipper-templates,https://github.com/kepano/clipper-templates,MIT,,,,,https://obsidian.md/help/web-clipper/templates,
28,,,Common CSS Snippets for Obsidian,css,Most common appearance solutions for Obsidian now in a single place. Initially collected by Klaas:..,https://github.com/Dmytro-Shulha/obsidian-css-snippets,11,True,139.0,,1754.0,159.0,35.0,,20.0,5.0,3.0,,13.0,2020-12-11 23:30:33,2024-12-15 22:59:55,2024-12-15 22:59:54,,2.0,,,,,Dmytro-Shulha/obsidian-css-snippets,https://opengraph.githubassets.com/1/Dmytro-Shulha/obsidian-css-snippets,https://github.com/Dmytro-Shulha/obsidian-css-snippets,,,,,,,
29,,,Networked Thinking: Companion Vault,vaults,"An Obsidian companion vault for putting Networked Thinking into practice, with the notes, templates, and folder..",https://github.com/jrgilbertson/networked-thinking,11,True,66.0,37.0,153.0,16.0,4.0,4.0,31.0,3.0,4.0,,2.0,2022-01-26 19:07:46,2026-09-01 07:30:33,2026-08-19 15:18:48,2026-08-13 02:17:12,3.0,,,,,jrgilbertson/networked-thinking,https://opengraph.githubassets.com/1/jrgilbertson/networked-thinking,https://github.com/jrgilbertson/networked-thinking,,1.2.1,,,,,
30,,,Dataview Example Vault,dataview,A example vault to collect and showcase various dataview queries. Created on behalf of AB1908.,https://github.com/s-blu/obsidian_dataview_example_vault,10,True,249.0,,859.0,92.0,27.0,,41.0,2.0,9.0,,14.0,2022-07-27 19:24:00,2025-07-11 19:18:11,2025-07-11 19:17:44,,2.0,,,,,s-blu/obsidian_dataview_example_vault,https://opengraph.githubassets.com/1/s-blu/obsidian_dataview_example_vault,https://github.com/s-blu/obsidian_dataview_example_vault,,,,,,,
31,,,Dashboard Gallery,dataview,"Beautiful, ready-to-use dashboard templates for Obsidian PKM.",https://obsidian.inlitx.xyz/,10,True,55.0,8.0,702.0,37.0,5.0,,25.0,,3.0,,2.0,2026-02-05 20:17:18,2026-07-29 13:31:28,2026-07-29 13:31:27,,2.0,,,,,InlitX/Obsidian-Dashboard-Gallery,https://opengraph.githubassets.com/1/InlitX/Obsidian-Dashboard-Gallery,https://github.com/InlitX/Obsidian-Dashboard-Gallery,MIT,,,,,,
32,,,Awesome Obsidian Vaults,related,Awesome list of obsidian vaults.,https://github.com/obsidian-pkm-vault/awesome-obsidian-vault,10,True,40.0,10.0,517.0,50.0,4.0,,8.0,3.0,8.0,,2.0,2024-07-08 02:17:21,2026-08-27 23:16:39,2026-08-27 23:16:22,,3.0,,,,,obsidian-pkm-vault/awesome-obsidian-vault,https://opengraph.githubassets.com/1/obsidian-pkm-vault/awesome-obsidian-vault,https://github.com/obsidian-pkm-vault/awesome-obsidian-vault,CC0-1.0,,,,,,
33,,,Minimal Theme CSS Snippets,css,Obsidian CSS snippets to tweak UI and harmonize various plugins with the Minimal Theme - for fellow hackers.,https://github.com/replete/obsidian-minimal-theme-css-snippets,9,True,359.0,,515.0,27.0,19.0,,,1.0,11.0,,4.0,2023-02-20 14:44:17,2026-05-10 07:54:11,2026-05-10 07:54:08,,3.0,,,,,replete/obsidian-minimal-theme-css-snippets,https://opengraph.githubassets.com/1/replete/obsidian-minimal-theme-css-snippets,https://github.com/replete/obsidian-minimal-theme-css-snippets,,,,,,,
34,,,Dataview Snippets Collection,dataview,"A collection of Obsidian.md scripts which include Tag & Page Clouds, Table of Contents / ToC, Bad / Missing Link..",https://github.com/Aetherinox/obsidian-dataview-snippets,8,True,230.0,,189.0,7.0,2.0,12.0,38.0,,2.0,,2.0,2023-08-19 20:18:10,2025-11-19 07:10:06,2025-07-11 04:10:29,2024-10-05 07:25:09,3.0,,1.0,,,Aetherinox/obsidian-dataview-snippets,https://opengraph.githubassets.com/1/Aetherinox/obsidian-dataview-snippets,https://github.com/Aetherinox/obsidian-dataview-snippets,MIT,1.4.3,,,61.0,,
35,,,Anki ⇄ Obsidian Sync,integrations,Ankis Add-on to sync Anki-cards with Obsidian and Link them Automatically.,https://ankiweb.net/shared/info/1162061440,8,True,21.0,15.0,24.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2025-04-28 11:40:35,2026-08-09 21:10:18,2026-08-09 20:35:20,2026-08-09 21:10:19,3.0,,,,,sajee05/anki_obsidian_sync,https://opengraph.githubassets.com/1/sajee05/anki_obsidian_sync,https://github.com/sajee05/anki_obsidian_sync,MIT,1.0.0,,,,,
36,,,CSS Snippets & Demos,css,"A collection of CSS snippets, Markdown files, and visual examples of fun little tricks and techniques for use in the..",https://github.com/sailKiteV/Obsidian-Snippets-and-Demos,7,True,80.0,,113.0,4.0,7.0,,2.0,1.0,1.0,,3.0,2022-06-05 04:45:50,2026-01-18 15:05:58,2026-01-18 15:05:33,,3.0,,,,,sailKiteV/Obsidian-Snippets-and-Demos,https://opengraph.githubassets.com/1/sailKiteV/Obsidian-Snippets-and-Demos,https://github.com/sailKiteV/Obsidian-Snippets-and-Demos,MIT,,,,,,
37,,,Tasks Custom Icons,assets,Replace emojis used in Obsidian Tasks with monotone SVGs (obsidian css snippet generator).,https://github.com/obsidian-tasks-group/obsidian-tasks-custom-icons,6,True,87.0,,84.0,10.0,3.0,,6.0,,10.0,,6.0,2023-05-13 15:56:17,2024-09-30 09:32:38,2024-09-30 09:32:37,,1.0,,,,,obsidian-tasks-group/obsidian-tasks-custom-icons,https://opengraph.githubassets.com/1/obsidian-tasks-group/obsidian-tasks-custom-icons,https://github.com/obsidian-tasks-group/obsidian-tasks-custom-icons,,,,,,,
38,,,gsarig CSS Snippets,css,CSS Snippets for Obsidian.,https://github.com/gsarig/obsidian-css-snippets,5,True,17.0,,159.0,6.0,6.0,,,,2.0,,,2024-11-25 22:05:15,2026-05-05 22:13:18,2026-05-05 22:13:05,,3.0,,,,,gsarig/obsidian-css-snippets,https://opengraph.githubassets.com/1/gsarig/obsidian-css-snippets,https://github.com/gsarig/obsidian-css-snippets,,,,,,,
39,,,Vaultorial Obsidian Templates,vaults,,https://vaultorial.com/,3,True,3.0,3.0,8.0,,,,,,,,,2026-06-11 06:50:06,2026-06-11 17:15:57,2026-06-11 17:15:54,,3.0,,,,,Vaultorial/obsidian-templates,https://opengraph.githubassets.com/1/Vaultorial/obsidian-templates,https://github.com/Vaultorial/obsidian-templates,MIT,,,,,,
40,,,Obsidian CLI,tools,"Obsidian CLI is a command line interface that lets you control Obsidian from your terminal for scripting, automation,..",https://obsidian.md/cli,2,True,,,,,,,,,,,,,,,,3.0,,,,,,,,Proprietary,,,,,https://obsidian.md/help/cli,['official']
41,,,Publish,ssg,"Obsidians official publishing service for turning your notes into a fast, customizable, and publicly accessible website.",https://obsidian.md/publish,1,True,,,,,,,,,,,,,,,,3.0,,,,,,https://obsidian.md/images/publish-example-dark.png,,,,,,,,['official']
