,name,homepage,description,category,resource,projectrank,show,github_id,image,docs_url,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank_placing,labels,github_release_downloads,monthly_downloads
10,Claude Obsidian (AI Second Brain),https://github.com/AgriciDaniel/claude-obsidian,"Self-organizing AI second brain for Obsidian + Claude Code. Drop any source and Claude reads, links, and files it into..",workflows,,21,True,AgriciDaniel/claude-obsidian,https://raw.githubusercontent.com/AgriciDaniel/claude-obsidian/main/assets/diagrams/knowledge-loop.svg,,https://github.com/AgriciDaniel/claude-obsidian,MIT,2026-04-07 08:59:37,2026-08-26 11:43:21,2026-08-26 11:43:18,254.0,42.0,1460.0,64.0,102.0,69.0,6.0,14643.0,2026-08-25 23:32:08,2.1.1,10.0,,,3.0,2.0,,235.0,47.0
11,Apex Dashboard,https://github.com/PandoraReads/apex-dashboard/blob/main/README_EN.md,"Stop switching between Obsidian notes. One page. Everything you need. Memo your thoughts, crush your todos, track your..",dataview,,21,True,PandoraReads/apex-dashboard,https://opengraph.githubassets.com/1/PandoraReads/apex-dashboard,,https://github.com/PandoraReads/apex-dashboard,MIT,2026-05-14 07:42:42,2026-09-03 12:27:27,2026-09-03 12:27:06,245.0,110.0,43.0,4.0,6.0,12.0,32.0,743.0,2026-09-03 12:27:59,2.2.1,62.0,,,,1.0,,85843.0,21460.0
12,Zettelkasten Templates & Scripts,https://github.com/groepl/Obsidian-Templates,A repository containing templates and scripts for #Obsidian to support the #Zettelkasten method for note-taking.,templates,,20,True,groepl/Obsidian-Templates,https://opengraph.githubassets.com/1/groepl/Obsidian-Templates,,https://github.com/groepl/Obsidian-Templates,MIT,2022-12-02 19:56:17,2026-08-22 18:14:51,2026-08-22 18:14:50,564.0,49.0,173.0,33.0,4.0,,14.0,1916.0,2026-07-14 14:06:15,11.0.0,12.0,,,,1.0,,,
13,Obsidian Sample Plugin,https://github.com/obsidianmd/obsidian-sample-plugin,Template for Obsidian community plugins with build configuration and development best practices.,related,,17,True,obsidianmd/obsidian-sample-plugin,https://opengraph.githubassets.com/1/obsidianmd/obsidian-sample-plugin,,https://github.com/obsidianmd/obsidian-sample-plugin,0BSD,2020-10-25 19:47:57,2026-08-02 15:56:53,2026-08-02 15:56:53,102.0,2.0,1569.0,44.0,111.0,16.0,58.0,4510.0,2020-10-28 23:21:46,1.0.0,1.0,,,28.0,1.0,['official'],9382.0,132.0
14,Shimmering Obsidian (Alfred Workflow),https://alfred.app/workflows/chrisgrieser/shimmering-obsidian/,Alfred workflow with dozens of features for controlling your Obsidian vault.,integrations,,17,True,chrisgrieser/shimmering-obsidian,https://opengraph.githubassets.com/1/chrisgrieser/shimmering-obsidian,,https://github.com/chrisgrieser/shimmering-obsidian,MIT,2021-08-22 15:41:18,2026-08-03 07:52:29,2026-08-03 07:52:09,1414.0,2.0,46.0,5.0,31.0,1.0,178.0,1036.0,2025-05-18 14:50:26,4.14.0,100.0,,,16.0,1.0,,4368.0,99.0
15,kepano's Obsidian Vault,https://stephango.com/vault,My personal Obsidian vault template. A bottom-up approach to note-taking and organizing things I am interested in.,vaults,,16,True,kepano/kepano-obsidian,https://opengraph.githubassets.com/1/kepano/kepano-obsidian,,https://github.com/kepano/kepano-obsidian,MIT,2023-09-12 21:59:16,2026-01-09 00:01:53,2026-01-09 00:01:50,149.0,,361.0,85.0,24.0,5.0,14.0,4487.0,2025-10-06 19:20:13,2.2.0,6.0,,,9.0,1.0,,,
16,Modular CSS Layout,https://github.com/efemkay/obsidian-modular-css-layout,CSS Layout hack for Obsidian.md.,css,,16,True,efemkay/obsidian-modular-css-layout,https://raw.githubusercontent.com/efemkay/obsidian-modular-css-layout/main/docs/assets/hero-mc-callout.png,https://efemkay.github.io/obsidian-modular-css-layout/,https://github.com/efemkay/obsidian-modular-css-layout,GPL-3.0,2022-03-27 04:10:01,2024-09-01 09:11:48,2024-09-01 09:11:27,128.0,,106.0,22.0,6.0,57.0,49.0,1809.0,2024-09-01 09:03:34,0.10.0,30.0,,,3.0,1.0,,10326.0,198.0
17,Flowershow,https://github.com/flowershow/obsidian-flowershow,Publish your Obsidian vault as a website with Flowershow.,ssg,,16,True,flowershow/obsidian-flowershow,https://raw.githubusercontent.com/flowershow/flowershow/main/content/flowershow-app/assets/showcases/demo.png,,https://github.com/flowershow/obsidian-flowershow,MIT,2023-04-28 08:27:57,2026-08-31 17:34:39,2026-08-31 17:34:18,89.0,11.0,6.0,8.0,17.0,,28.0,75.0,2026-08-31 17:45:27,4.2.2,33.0,,,4.0,3.0,,24167.0,635.0
18,Obsidian Skills,https://github.com/kepano/obsidian-skills,"Agent skills for Obsidian. Teach your agent to use Obsidian CLI and open formats including Markdown, Bases, JSON Canvas.",related,,15,True,kepano/obsidian-skills,https://opengraph.githubassets.com/1/kepano/obsidian-skills,,https://github.com/kepano/obsidian-skills,MIT,2026-01-02 21:45:11,2026-06-08 16:12:01,2026-06-08 16:12:01,46.0,2.0,3418.0,248.0,80.0,31.0,20.0,47884.0,,,,,,16.0,2.0,,,
19,Obsidian Raycast Extension,https://github.com/marcjulianschwarz/obsidian-raycast,Raycast extension with commands for the note taking app Obsidian.,integrations,,14,True,marcjulianschwarz/obsidian-raycast,https://opengraph.githubassets.com/1/marcjulianschwarz/obsidian-raycast,,https://github.com/marcjulianschwarz/obsidian-raycast,MIT,2021-10-23 10:36:49,2026-04-02 19:47:48,2026-04-02 19:45:37,428.0,,31.0,3.0,41.0,8.0,81.0,152.0,2023-06-10 21:42:11,1.12.0,9.0,,,10.0,3.0,,,
20,Obsidian CSS Snippets,https://github.com/r-u-s-h-i-k-e-s-h/Obsidian-CSS-Snippets,"Welcome to the ObsidianMD CSS Snippets repository, a collection of CSS code snippets to enhance the user interface..",css,,13,True,r-u-s-h-i-k-e-s-h/Obsidian-CSS-Snippets,https://opengraph.githubassets.com/1/r-u-s-h-i-k-e-s-h/Obsidian-CSS-Snippets,,https://github.com/r-u-s-h-i-k-e-s-h/Obsidian-CSS-Snippets,MIT,2023-11-27 10:28:22,2026-07-22 05:58:01,2026-07-22 05:57:57,53.0,6.0,76.0,23.0,9.0,,10.0,1556.0,,,,,,10.0,2.0,,,
21,AI Memory Vault,https://jaredrhod.com,"Give your AI a real, persistent memory. The open-source system plus templates that turn an Obsidian vault into your..",workflows,,13,True,jaredrhod/ai-memory-vault,https://opengraph.githubassets.com/1/jaredrhod/ai-memory-vault,,https://github.com/jaredrhod/ai-memory-vault,CC-BY-SA-4.0,2026-06-18 01:17:27,2026-08-31 01:56:56,2026-08-31 01:56:54,57.0,57.0,157.0,13.0,1.0,1.0,1.0,622.0,2026-07-14 21:55:01,3.2,1.0,,,,3.0,,,
22,Obsidian Docs,https://docs.obsidian.md/Home,,related,,13,True,obsidianmd/obsidian-developer-docs,https://opengraph.githubassets.com/1/obsidianmd/obsidian-developer-docs,,https://github.com/obsidianmd/obsidian-developer-docs,,2023-01-09 23:50:01,2026-08-10 23:37:26,2026-08-10 23:37:26,474.0,18.0,172.0,17.0,155.0,20.0,85.0,520.0,,,,,,63.0,3.0,['official'],,
23,Web Clipper Templates,https://github.com/kepano/clipper-templates,Obsidian Web Clipper templates for various sites.,templates,,12,True,kepano/clipper-templates,https://opengraph.githubassets.com/1/kepano/clipper-templates,https://obsidian.md/help/web-clipper/templates,https://github.com/kepano/clipper-templates,MIT,2024-09-10 22:05:31,2026-03-13 15:06:24,2026-03-13 15:06:24,37.0,,110.0,37.0,22.0,,,1439.0,,,,,,9.0,3.0,,,
24,Common CSS Snippets for Obsidian,https://github.com/Dmytro-Shulha/obsidian-css-snippets,Most common appearance solutions for Obsidian now in a single place. Initially collected by Klaas:..,css,,11,True,Dmytro-Shulha/obsidian-css-snippets,https://opengraph.githubassets.com/1/Dmytro-Shulha/obsidian-css-snippets,,https://github.com/Dmytro-Shulha/obsidian-css-snippets,,2020-12-11 23:30:33,2024-12-15 22:59:55,2024-12-15 22:59:54,139.0,,158.0,35.0,20.0,5.0,3.0,1753.0,,,,,,13.0,2.0,,,
25,Networked Thinking: Companion Vault,https://github.com/jrgilbertson/networked-thinking,"An Obsidian companion vault for putting Networked Thinking into practice, with the notes, templates, and folder..",vaults,,11,True,jrgilbertson/networked-thinking,https://opengraph.githubassets.com/1/jrgilbertson/networked-thinking,,https://github.com/jrgilbertson/networked-thinking,,2022-01-26 19:07:46,2026-09-01 07:30:33,2026-08-19 15:18:48,66.0,37.0,16.0,4.0,31.0,3.0,4.0,151.0,2026-08-13 02:17:12,1.2.1,4.0,,,2.0,3.0,,,
26,Dataview Example Vault,https://github.com/s-blu/obsidian_dataview_example_vault,A example vault to collect and showcase various dataview queries. Created on behalf of AB1908.,dataview,,10,True,s-blu/obsidian_dataview_example_vault,https://opengraph.githubassets.com/1/s-blu/obsidian_dataview_example_vault,,https://github.com/s-blu/obsidian_dataview_example_vault,,2022-07-27 19:24:00,2025-07-11 19:18:11,2025-07-11 19:17:44,249.0,,92.0,27.0,41.0,2.0,9.0,859.0,,,,,,14.0,2.0,,,
27,Dashboard Gallery,https://obsidian.inlitx.xyz/,"Beautiful, ready-to-use dashboard templates for Obsidian PKM.",dataview,,10,True,InlitX/Obsidian-Dashboard-Gallery,https://opengraph.githubassets.com/1/InlitX/Obsidian-Dashboard-Gallery,,https://github.com/InlitX/Obsidian-Dashboard-Gallery,MIT,2026-02-05 20:17:18,2026-07-29 13:31:28,2026-07-29 13:31:27,55.0,8.0,37.0,5.0,25.0,,3.0,695.0,,,,,,2.0,2.0,,,
28,Awesome Obsidian Vaults,https://github.com/obsidian-pkm-vault/awesome-obsidian-vault,Awesome list of obsidian vaults.,related,,10,True,obsidian-pkm-vault/awesome-obsidian-vault,https://opengraph.githubassets.com/1/obsidian-pkm-vault/awesome-obsidian-vault,,https://github.com/obsidian-pkm-vault/awesome-obsidian-vault,CC0-1.0,2024-07-08 02:17:21,2026-08-27 23:16:39,2026-08-27 23:16:22,40.0,10.0,49.0,4.0,8.0,2.0,8.0,512.0,,,,,,2.0,3.0,,,
29,Minimal Theme CSS Snippets,https://github.com/replete/obsidian-minimal-theme-css-snippets,Obsidian CSS snippets to tweak UI and harmonize various plugins with the Minimal Theme - for fellow hackers.,css,,9,True,replete/obsidian-minimal-theme-css-snippets,https://opengraph.githubassets.com/1/replete/obsidian-minimal-theme-css-snippets,,https://github.com/replete/obsidian-minimal-theme-css-snippets,,2023-02-20 14:44:17,2026-05-10 07:54:11,2026-05-10 07:54:08,359.0,,27.0,19.0,,1.0,11.0,515.0,,,,,,4.0,3.0,,,
30,Dataview Snippets Collection,https://github.com/Aetherinox/obsidian-dataview-snippets,"A collection of Obsidian.md scripts which include Tag & Page Clouds, Table of Contents / ToC, Bad / Missing Link..",dataview,,8,True,Aetherinox/obsidian-dataview-snippets,https://opengraph.githubassets.com/1/Aetherinox/obsidian-dataview-snippets,,https://github.com/Aetherinox/obsidian-dataview-snippets,MIT,2023-08-19 20:18:10,2025-11-19 07:10:06,2025-07-11 04:10:29,230.0,,7.0,2.0,38.0,,2.0,186.0,2024-10-05 07:25:09,1.4.3,12.0,,,2.0,3.0,,61.0,1.0
31,Anki ⇄ Obsidian Sync,https://ankiweb.net/shared/info/1162061440,Ankis Add-on to sync Anki-cards with Obsidian and Link them Automatically.,integrations,,8,True,sajee05/anki_obsidian_sync,https://opengraph.githubassets.com/1/sajee05/anki_obsidian_sync,,https://github.com/sajee05/anki_obsidian_sync,MIT,2025-04-28 11:40:35,2026-08-09 21:10:18,2026-08-09 20:35:20,21.0,15.0,2.0,1.0,1.0,1.0,1.0,24.0,2026-08-09 21:10:19,1.0.0,1.0,,,2.0,3.0,,,
32,CSS Snippets & Demos,https://github.com/sailKiteV/Obsidian-Snippets-and-Demos,"A collection of CSS snippets, Markdown files, and visual examples of fun little tricks and techniques for use in the..",css,,7,True,sailKiteV/Obsidian-Snippets-and-Demos,https://opengraph.githubassets.com/1/sailKiteV/Obsidian-Snippets-and-Demos,,https://github.com/sailKiteV/Obsidian-Snippets-and-Demos,MIT,2022-06-05 04:45:50,2026-01-18 15:05:58,2026-01-18 15:05:33,80.0,,4.0,7.0,2.0,1.0,1.0,113.0,,,,,,3.0,3.0,,,
33,Tasks Custom Icons,https://github.com/obsidian-tasks-group/obsidian-tasks-custom-icons,Replace emojis used in Obsidian Tasks with monotone SVGs (obsidian css snippet generator).,assets,,6,True,obsidian-tasks-group/obsidian-tasks-custom-icons,https://opengraph.githubassets.com/1/obsidian-tasks-group/obsidian-tasks-custom-icons,,https://github.com/obsidian-tasks-group/obsidian-tasks-custom-icons,,2023-05-13 15:56:17,2024-09-30 09:32:38,2024-09-30 09:32:37,87.0,,10.0,3.0,6.0,,10.0,84.0,,,,,,6.0,1.0,,,
34,OSINT Templates,https://github.com/WebBreacher/obsidian-osint-templates,These templates are suggestions of how the Obsidian notetaking tool can be used during an OSINT investigation. The..,workflows,,5,True,WebBreacher/obsidian-osint-templates,https://opengraph.githubassets.com/1/WebBreacher/obsidian-osint-templates,,https://github.com/WebBreacher/obsidian-osint-templates,,2022-02-15 03:21:23,2026-06-14 20:23:26,2026-06-14 20:23:26,51.0,1.0,120.0,19.0,6.0,,2.0,809.0,,,,,,2.0,3.0,,,
35,gsarig CSS Snippets,https://github.com/gsarig/obsidian-css-snippets,CSS Snippets for Obsidian.,css,,5,True,gsarig/obsidian-css-snippets,https://opengraph.githubassets.com/1/gsarig/obsidian-css-snippets,,https://github.com/gsarig/obsidian-css-snippets,,2024-11-25 22:05:15,2026-05-05 22:13:18,2026-05-05 22:13:05,17.0,,6.0,6.0,,,2.0,158.0,,,,,,,3.0,,,
36,Vaultorial Obsidian Templates,https://vaultorial.com/,,vaults,,3,True,Vaultorial/obsidian-templates,https://opengraph.githubassets.com/1/Vaultorial/obsidian-templates,,https://github.com/Vaultorial/obsidian-templates,MIT,2026-06-11 06:50:06,2026-06-11 17:15:57,2026-06-11 17:15:54,3.0,3.0,,,,,,8.0,,,,,,,3.0,,,
37,Obsidian CLI,https://obsidian.md/cli,"Obsidian CLI is a command line interface that lets you control Obsidian from your terminal for scripting, automation,..",tools,,2,True,,,https://obsidian.md/help/cli,,Proprietary,,,,,,,,,,,,,,,,,,3.0,['official'],,
38,Publish,https://obsidian.md/publish,"Obsidians official publishing service for turning your notes into a fast, customizable, and publicly accessible website.",ssg,,1,True,,https://obsidian.md/images/publish-example-dark.png,,,,,,,,,,,,,,,,,,,,,3.0,['official'],,
